ANN_ACC,TYP_EPV,HEU_ACC,COD_PRV,COD_ETA_CHA,COD_ETA_SUR,COD_LUM,COD_INT,COD_AGG,LOC,COD_TYP_CAR_AGG,COD_TYP_CHA,COD_TOP,COD_TYP_CAR_CAM,COD_PRO_LON,COD_TRA_PLA,COD_TYP_COL,COD_OBS_HRT,COD_POI_CHO,COD_MAN
,,,,,,,,SIDI BOUZID,,,,,,,,,,,
,,,,,,,,SIDI SMAIL,,,,,,,,,,,
,,,,,,,,MOULAY ABDALLAH,,,,,,,,,,,
,,,,,,,,OULED AISSA,,,,,,,,,,,
,,,,,,,,TNINE RHARBIA,,,,,,,,,,,
,,,,,,,,BENGUERIR,,,,,,,,,,,
,,,,,,,,EL KALAA DES SRAGHNA,,,,,,,,,,,
,,,,,,,,EL ATTAOUIA,,,,,,,,,,,
,,,,,,,,HAD RAS EL AIN,,,,,,,,,,,
,,,,,,,,SIDI BOUOTHMANE,,,,,,,,,,,
,,,,,,,,SKHOUR DES RHAMNAS,,,,,,,,,,,
,,,,,,,,TAMELELT,,,,,,,,,,,
,,,,,,,,SIDI RAHHAL,,,,,,,,,,,
,,,,,,,,TNINE BOUCHANE,,,,,,,,,,,
,,,,,,,,ARBAA GAZET,,,,,,,,,,,
,,,,,,,,ESSAOUIRA,,,,,,,,,,,
,,,,,,,,TLAT EL HANCHANE,,,,,,,,,,,
,,,,,,,,SMIMOU,,,,,,,,,,,
,,,,,,,,TALMEST,,,,,,,,,,,
,,,,,,,,TAMANAR,,,,,,,,,,,
,,,,,,,,TAFETTACHTE,,,,,,,,,,,
,,,,,,,,HAD DRAA,,,,,,,,,,,
,,,,,,,,AIT DAOUD,,,,,,,,,,,
,,,,,,,,BIZDAD,,,,,,,,,,,
,,,,,,,,OUNAGHA,,,,,,,,,,,
,,,,,,,,AOUFOUS,,,,,,,,,,,
,,,,,,,,BOUDNIB,,,,,,,,,,,
,,,,,,,,ERFOUD,,,,,,,,,,,
,,,,,,,,ERRACHIDIA,,,,,,,,,,,
,,,,,,,,GOULMIMA,,,,,,,,,,,
,,,,,,,,OUED ZIZ,,,,,,,,,,,
,,,,,,,,RICH,,,,,,,,,,,
,,,,,,,,RISSANI,,,,,,,,,,,
,,,,,,,,TAOUZ,,,,,,,,,,,
,,,,,,,,TNINE JDAD,,,,,,,,,,,
,,,,,,,,IMILCHIL,,,,,,,,,,,
,,,,,,,,BENSOUDA,,,,,,,,,,,
,,,,,,,,BIR TAMTAM,,,,,,,,,,,
,,,,,,,,BOUMEREM,,,,,,,,,,,
,,,,,,,,BOUCHAOUEN,,,,,,,,,,,
,,,,,,,,FES,,,,,,,,,,,
,,,,,,,,BENI GUIL,,,,,,,,,,,
,,,,,,,,MOULAY YACOUB,,,,,,,,,,,
,,,,,,,,AIN CHOUATER,,,,,,,,,,,
,,,,,,,,SIDI HRAZEM,,,,,,,,,,,
,,,,,,,,RAS TABOUDA,,,,,,,,,,,
,,,,,,,,OULED TAYEB,,,,,,,,,,,
,,,,,,,,TAZOUTA,,,,,,,,,,,
,,,,,,,,AIR DE FES SAISS,,,,,,,,,,,
,,,,,,,,BENI TADJITE,,,,,,,,,,,
,,,,,,,,BOUANANE,,,,,,,,,,,
,,,,,,,,BOUARFA,,,,,,,,,,,
,,,,,,,,FIGUIG,,,,,,,,,,,
,,,,,,,,TENDRARA,,,,,,,,,,,
,,,,,,,,TALSINT,,,,,,,,,,,
,,,,,,,,AIN CHAIR,,,,,,,,,,,
,,,,,,,,ABOU LAKHAL,,,,,,,,,,,
,,,,,,,,ARBAOUA,,,,,,,,,,,
,,,,,,,,KENITRA,,,,,,,,,,,
,,,,,,,,DAR GUEDDARI,,,,,,,,,,,
,,,,,,,,MEHDIA,,,,,,,,,,,
,,,,,,,,MOULAY BOUSSELHAM,,,,,,,,,,,
,,,,,,,,SIDI ALLAL TAZI,,,,,,,,,,,
,,,,,,,,SIDI SLIMANE,,,,,,,,,,,
,,,,,,,,SIDI YAHYA  DU  GHARB,,,,,,,,,,,
,,,,,,,,SOUK LARBA DU GHARB,,,,,,,,,,,
,,,,,,,,HADDADA,,,,,,,,,,,
,,,,,,,,DAR BEL AMRI,,,,,,,,,,,
,,,,,,,,SOUK TLATA EL GHARB,,,,,,,,,,,
,,,,,,,,AIN DORRIJ,,,,,,,,,,,
,,,,,,,,NKHAKHSA,,,,,,,,,,,
,,,,,,,,HAD KOURT,,,,,,,,,,,
,,,,,,,,SIDI KACEM,,,,,,,,,,,
,,,,,,,,OUEZZANE,,,,,,,,,,,
,,,,,,,,MECHRA BEL KSIRI,,,,,,,,,,,
,,,,,,,,JORF EL MELHA,,,,,,,,,,,
,,,,,,,,TEROUAL,,,,,,,,,,,
,,,,,,,,MJAARA,,,,,,,,,,,
,,,,,,,,AIT SIBERNE,,,,,,,,,,,
,,,,,,,,ZHILIGA,,,,,,,,,,,
,,,,,,,,HAD BRACHOUA,,,,,,,,,,,
,,,,,,,,KHEMISSET,,,,,,,,,,,
,,,,,,,,OULMES,,,,,,,,,,,
,,,,,,,,ROMMANI,,,,,,,,,,,
,,,,,,,,SIDI ALLAL BAHRAOUI,,,,,,,,,,,
,,,,,,,,MAATARKA,,,,,,,,,,,
,,,,,,,,MAAZIZ,,,,,,,,,,,
,,,,,,,,TIFLET,,,,,,,,,,,
,,,,,,,,TIDDAS,,,,,,,,,,,
,,,,,,,,KHEMIS AIT YADINE,,,,,,,,,,,
,,,,,,,,AIN SBITE,,,,,,,,,,,
,,,,,,,,MOULAY IDRISS AGHBAL,,,,,,,,,,,
,,,,,,,,MERCHOUCH,,,,,,,,,,,
,,,,,,,,EL-KBAB,,,,,,,,,,,
,,,,,,,,ASSAKA,,,,,,,,,,,
,,,,,,,,ITZER,,,,,,,,,,,
,,,,,,,,KHENIFRA,,,,,,,,,,,
,,,,,,,,KEF-N-SOUR,,,,,,,,,,,
,,,,,,,,MIDELT,,,,,,,,,,,
,,,,,,,,MRIRT,,,,,,,,,,,
,,,,,,,,MOULAY BOUAZZA,,,,,,,,,,,
,,,,,,,,TOUNFIT,,,,,,,,,,,
,,,,,,,,BOUMIA,,,,,,,,,,,
,,,,,,,,AIT ISHAQ,,,,,,,,,,,
,,,,,,,,AGUELMOUS,,,,,,,,,,,
,,,,,,,,ZAIDA,,,,,,,,,,,
,,,,,,,,BOUJAAD,,,,,,,,,,,
,,,,,,,,BOUJNIBA,,,,,,,,,,,
,,,,,,,,HATTANE,,,,,,,,,,,
,,,,,,,,KHOURIBGA,,,,,,,,,,,
,,,,,,,,OUED ZEM,,,,,,,,,,,
,,,,,,,,SISI BOULAOUANE,,,,,,,,,,,
,,,,,,,,BNI IKHLEF,,,,,,,,,,,
,,,,,,,,SOUK JEMAA OULED ABDOUNE,,,,,,,,,,,
,,,,,,,,BOULANOUAR,,,,,,,,,,,
,,,,,,,,EL GOUFAF,,,,,,,,,,,
,,,,,,,,BOUKRAA,,,,,,,,,,,
,,,,,,,,DAOURA,,,,,,,,,,,
,,,,,,,,FOUM EL OUAD,,,,,,,,,,,
,,,,,,,,HAGOUNIA,,,,,,,,,,,
,,,,,,,,LAAYOUNE,,,,,,,,,,,
,,,,,,,,PORT-PLAGE,,,,,,,,,,,
,,,,,,,,TARFAYA,,,,,,,,,,,
,,,,,,,,PORT LAAYOUNE,,,,,,,,,,,
